new entry "Interrupt_WM55_Push"
  type "InterruptData"
  data "DisplayName" "hcfcaf66bgd3f6g4de4g8a83ge00ca9fed9eb;1"
  data "Description" "h36f9628dg5172g42f4ga763gd4f47fb60cba;1"
  data "DescriptionParams" "Distance(3)"
  data "Icon" "Action_PushingAttack_Melee"
  data "InterruptContext" "OnCastHit"
  data "InterruptContextScope" "Self"
  data "Container" "YesNoDecision"
  data "Conditions" "Self(context.Source,context.Observer) and WM55_CanUseMasteryOnAttack('Greatclubs|Pikes|Warhammers|HeavyCrossbows') and HasDamageEffectFlag(DamageFlags.Hit) and not IsKillingBlow() and TargetSizeEqualOrSmaller(Size.Large) and not WM55_BaseMasteryIsSuppressed() and not AnyEntityIsItem();"
  data "Properties" "TARGET:ApplyStatus(WM55_PUSH_INTERRUPT,100,0)"
  data "Cost" "ReactionActionPoint:0"
  data "InterruptDefaultValue" "Ask;Enabled"
